"PERIODO","ANO","MES","SEMANA","DIA","HOJE","PONTO","ACESSO","FERIAS","AFASTADO","ADMITIDO","DEMITIDO","PONTO_BATIDAS","ACESSO_BATIDAS","REF_EXE_BATIDAS","REF_FUNC_BATIDAS","EXTRA","EXTERNO","ATRASO","CUSTO","TOTAL_FUNCIONARIOS","TOTAL_TRABALHANDO","MIN_DEMITIDO","MIN_EXTERNO","MIN_ATRASO","TOTAL_ATIVOS"
"14/11/2014","2014","11/2014", "6  Semana" ,"14/11","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3610","0","0","0","0","3502"
"14/10/2014","2014","10/2014", "3  Semana" ,"14/10","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3689","0","0","0","0","3502"
"14/08/2015","2015","08/2015", "6  Semana" ,"14/08","N","2515","0","0","25","0","0","5472","679","32","1792","553","60","83","5607","3727","0","0","-60","-83","3502"
"14/08/2014","2014","08/2014", "5  Semana" ,"14/08","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3644","0","0","0","0","3502"
"14/07/2014","2014","07/2014", "2  Semana" ,"14/07","N","1","0","0","21","0","0","2","0","0","0","0","0","0","0","3611","0","0","0","0","3502"
"14/06/2015","2015","06/2015", "1  Semana" ,"14/06","N","157","0","0","5","0","0","358","255","0","0","2","32","0","15","3645","0","0","-32","0","3502"
"14/05/2015","2015","05/2015", "5  Semana" ,"14/05","N","2","0","0","32","0","0","4","0","0","0","8","0","0","66","3666","0","0","0","0","3502"
"14/04/2015","2015","04/2015", "3  Semana" ,"14/04","N","1","0","0","5","0","0","2","0","0","0","0","0","0","0","3621","0","0","0","0","3502"
"14/03/2015","2015","03/2015", "7  Semana" ,"14/03","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3579","0","0","0","0","3502"
"14/02/2016","2016","02/2016", "1  Semana" ,"14/02","N","328","0","0","5","0","0","789","557","0","0","0","58","0","0","3568","0","0","-58","0","3502"
"14/02/2015","2015","02/2015", "7  Semana" ,"14/02","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3637","0","0","0","0","3502"
"14/01/2015","2015","01/2015", "4  Semana" ,"14/01","N","1","0","0","73","0","0","2","0","0","0","0","0","0","0","3685","0","0","0","0","3502"
"13/12/2014","2014","12/2014", "7  Semana" ,"13/12","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3740","0","0","0","0","3502"
"13/11/2014","2014","11/2014", "5  Semana" ,"13/11","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3611","0","0","0","0","3502"
"13/10/2014","2014","10/2014", "2  Semana" ,"13/10","N","1","0","0","50","0","0","2","0","0","0","0","0","0","0","3691","0","0","0","0","3502"
"13/09/2015","2015","09/2015", "1  Semana" ,"13/09","N","110","0","0","3","0","0","337","120","0","0","0","21","0","0","3672","0","0","-21","0","3502"
"13/09/2014","2014","09/2014", "7  Semana" ,"13/09","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3622","0","0","0","0","3502"
"13/08/2014","2014","08/2014", "4  Semana" ,"13/08","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3645","0","0","0","0","3502"
"13/06/2015","2015","06/2015", "7  Semana" ,"13/06","N","173","0","4","2","0","0","395","275","0","14","389","40","0","1913","3606","0","0","-40","0","3502"
"13/05/2015","2015","05/2015", "4  Semana" ,"13/05","N","1","0","0","37","0","0","2","0","0","0","0","0","0","0","3670","0","0","0","0","3502"
"13/04/2015","2015","04/2015", "2  Semana" ,"13/04","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3621","0","0","0","0","3502"
"13/03/2015","2015","03/2015", "6  Semana" ,"13/03","N","1","0","0","4","0","0","2","0","0","0","0","0","0","0","3577","0","0","0","0","3502"
"13/02/2016","2016","02/2016", "7  Semana" ,"13/02","N","2098","0","0","12","0","0","3890","2491","0","334","220","601","9","2331","3643","0","0","-601","-9","3502"
"13/02/2015","2015","02/2015", "6  Semana" ,"13/02","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3635","0","0","0","0","3502"
"13/01/2016","2016","01/2016", "4  Semana" ,"13/01","N","5580","0","0","9","28","0","6810","4541","0","68","805","1199","115","3940","3576","0","0","-1199","-115","3502"
"13/01/2015","2015","01/2015", "3  Semana" ,"13/01","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3685","0","0","0","0","3502"
"12/12/2015","2015","12/2015", "7  Semana" ,"12/12","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3592","0","0","0","0","3502"
"12/12/2014","2014","12/2014", "6  Semana" ,"12/12","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3740","0","0","0","0","3502"
"12/11/2014","2014","11/2014", "4  Semana" ,"12/11","N","1","0","0","5","0","0","2","0","0","0","0","0","0","0","3611","0","0","0","0","3502"
"12/10/2015","2015","10/2015", "2  Semana" ,"12/10","N","199","0","0","1","0","0","284","90","0","2","188","0","20","1731","3568","0","0","0","-20","3502"
"12/09/2015","2015","09/2015", "7  Semana" ,"12/09","N","1616","0","0","6","0","0","2816","751","0","297","210","104","16","2091","3752","0","0","-104","-16","3502"
"12/09/2014","2014","09/2014", "6  Semana" ,"12/09","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3623","0","0","0","0","3502"
"12/08/2014","2014","08/2014", "3  Semana" ,"12/08","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3644","0","0","0","0","3502"
"12/07/2014","2014","07/2014", "7  Semana" ,"12/07","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3611","0","0","0","0","3502"
"12/06/2015","2015","06/2015", "6  Semana" ,"12/06","N","1097","0","0","3","0","0","2441","2044","606","770","1674","191","0","16587","3606","0","0","-191","0","3502"
"12/05/2015","2015","05/2015", "3  Semana" ,"12/05","N","1","0","0","31","0","0","2","0","0","0","0","0","0","1","3673","0","0","0","0","3502"
"12/04/2015","2015","04/2015", "1  Semana" ,"12/04","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3608","0","0","0","0","3502"
"12/03/2015","2015","03/2015", "5  Semana" ,"12/03","N","1","0","0","1","0","0","2","0","0","0","0","0","0","1","3577","0","0","0","0","3502"
"12/02/2016","2016","02/2016", "6  Semana" ,"12/02","N","5375","0","0","19","0","0","6653","4666","0","0","702","1837","249","3703","3644","0","0","-1837","-249","3502"
"12/02/2015","2015","02/2015", "5  Semana" ,"12/02","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3637","0","0","0","0","3502"
"12/01/2015","2015","01/2015", "2  Semana" ,"12/01","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3685","0","0","0","0","3502"
"11/12/2015","2015","12/2015", "6  Semana" ,"11/12","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3591","0","0","0","0","3502"
"11/12/2014","2014","12/2014", "5  Semana" ,"11/12","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3742","0","0","0","0","3502"
"11/11/2014","2014","11/2014", "3  Semana" ,"11/11","N","1","0","0","7","0","0","2","0","0","0","0","0","0","0","3613","0","0","0","0","3502"
"11/10/2015","2015","10/2015", "1  Semana" ,"11/10","N","150","0","0","1","0","0","434","114","0","0","0","4","0","0","3568","0","0","-4","0","3502"
"11/10/2014","2014","10/2014", "7  Semana" ,"11/10","N","1","0","0","0","0","0","2","0","0","0","0","0","0","1","3689","0","0","0","0","3502"
"11/09/2014","2014","09/2014", "5  Semana" ,"11/09","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3622","0","0","0","0","3502"
"11/08/2015","2015","08/2015", "3  Semana" ,"11/08","N","2553","0","0","21","0","0","5529","0","0","896","556","0","159","5497","3727","0","0","0","-159","3502"
"11/08/2014","2014","08/2014", "2  Semana" ,"11/08","N","1","0","0","34","0","0","2","0","0","0","0","0","0","0","3645","0","0","0","0","3502"
"11/07/2015","2015","07/2015", "7  Semana" ,"11/07","N","919","0","0","7","0","0","2636","836","0","613","2624","126","0","20581","3592","0","0","-126","0","3502"
"11/05/2015","2015","05/2015", "2  Semana" ,"11/05","N","2","0","0","39","0","0","2","0","0","0","0","0","0","0","3683","0","0","0","0","3502"
"11/04/2015","2015","04/2015", "7  Semana" ,"11/04","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3620","0","0","0","0","3502"
"11/03/2015","2015","03/2015", "4  Semana" ,"11/03","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3577","0","0","0","0","3502"
"11/02/2016","2016","02/2016", "5  Semana" ,"11/02","N","5584","0","0","17","0","0","6958","4379","0","320","1075","1590","240","5843","3636","0","0","-1590","-240","3502"
"11/02/2015","2015","02/2015", "4  Semana" ,"11/02","N","1","0","0","61","0","0","2","0","0","0","0","0","0","0","3635","0","0","0","0","3502"
"10/12/2015","2015","12/2015", "5  Semana" ,"10/12","N","1","0","0","21","0","0","2","0","0","0","0","0","0","0","3590","0","0","0","0","3502"
"10/12/2014","2014","12/2014", "4  Semana" ,"10/12","N","1","0","0","82","0","0","2","0","0","0","0","0","0","0","3742","0","0","0","0","3502"
"10/11/2014","2014","11/2014", "2  Semana" ,"10/11","N","1","0","0","38","0","0","2","0","0","0","0","0","0","0","3613","0","0","0","0","3502"
"10/10/2014","2014","10/2014", "6  Semana" ,"10/10","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3689","0","0","0","0","3502"
"10/09/2014","2014","09/2014", "4  Semana" ,"10/09","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3623","0","0","0","0","3502"
"10/08/2015","2015","08/2015", "2  Semana" ,"10/08","N","1890","0","36","36","29","0","3828","1858","0","1040","551","18","1071","5472","3727","0","0","-18","-1071","3502"
"10/04/2015","2015","04/2015", "6  Semana" ,"10/04","N","1","0","0","5","0","0","2","0","0","0","0","0","0","0","3621","0","0","0","0","3502"
"10/03/2015","2015","03/2015", "3  Semana" ,"10/03","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3577","0","0","0","0","3502"
"10/02/2016","2016","02/2016", "4  Semana" ,"10/02","N","4546","0","0","53","23","0","5265","4435","0","1287","793","953","327","4146","3636","0","0","-953","-327","3502"
"10/02/2015","2015","02/2015", "3  Semana" ,"10/02","N","2","0","0","0","0","0","2","0","0","0","0","0","0","0","3622","0","0","0","0","3502"
"10/01/2016","2016","01/2016", "1  Semana" ,"10/01","N","3","0","0","1","0","0","264","304","0","0","4","35","0","0","3482","0","0","-35","0","3502"
"10/01/2015","2015","01/2015", "7  Semana" ,"10/01","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3683","0","0","0","0","3502"
"09/12/2014","2014","12/2014", "3  Semana" ,"09/12","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3740","0","0","0","0","3502"
"09/10/2014","2014","10/2014", "5  Semana" ,"09/10","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3691","0","0","0","0","3502"
"09/09/2015","2015","09/2015", "4  Semana" ,"09/09","N","5734","0","1","18","0","0","7019","3171","0","1549","598","511","182","3211","3738","0","0","-511","-182","3502"
"09/09/2014","2014","09/2014", "3  Semana" ,"09/09","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3622","0","0","0","0","3502"
"09/08/2015","2015","08/2015", "1  Semana" ,"09/08","N","78","0","0","1","0","0","310","73","0","0","5","0","0","51","3699","0","0","0","0","3502"
"09/08/2014","2014","08/2014", "7  Semana" ,"09/08","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3645","0","0","0","0","3502"
"09/06/2015","2015","06/2015", "3  Semana" ,"09/06","N","1494","0","1","9","0","0","4072","2113","641","786","356","153","0","3773","3614","0","0","-153","0","3502"
"09/04/2015","2015","04/2015", "5  Semana" ,"09/04","N","1","0","0","5","0","0","2","0","0","0","0","0","0","0","3623","0","0","0","0","3502"
"09/03/2015","2015","03/2015", "2  Semana" ,"09/03","N","1","0","0","5","0","0","2","0","0","0","0","0","0","0","3577","0","0","0","0","3502"
"09/02/2016","2016","02/2016", "3  Semana" ,"09/02","N","279","0","0","1","0","0","417","206","0","0","430","41","27","4612","3550","0","0","-41","-27","3502"
"09/02/2015","2015","02/2015", "2  Semana" ,"09/02","N","1","0","0","7","0","0","2","0","0","0","0","0","0","0","3635","0","0","0","0","3502"
"09/01/2016","2016","01/2016", "7  Semana" ,"09/01","N","1249","0","0","2","0","0","2214","1029","0","18","161","239","6","1720","3482","0","0","-239","-6","3502"
"09/01/2015","2015","01/2015", "6  Semana" ,"09/01","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3685","0","0","0","0","3502"
"08/12/2015","2015","12/2015", "3  Semana" ,"08/12","N","1","0","0","23","0","0","2","0","0","0","0","0","0","0","3592","0","0","0","0","3502"
"08/12/2014","2014","12/2014", "2  Semana" ,"08/12","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3740","0","0","0","0","3502"
"08/11/2015","2015","11/2015", "1  Semana" ,"08/11","N","152","0","0","0","0","0","472","246","0","32","2","37","0","0","3543","0","0","-37","0","3502"
"08/11/2014","2014","11/2014", "7  Semana" ,"08/11","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3610","0","0","0","0","3502"
"08/10/2014","2014","10/2014", "4  Semana" ,"08/10","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3689","0","0","0","0","3502"
"08/09/2015","2015","09/2015", "3  Semana" ,"08/09","N","4786","0","45","32","13","0","5339","3462","6","1420","600","368","236","3427","3750","0","0","-368","-236","3502"
"08/09/2014","2014","09/2014", "2  Semana" ,"08/09","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3623","0","0","0","0","3502"
"08/08/2015","2015","08/2015", "7  Semana" ,"08/08","N","970","0","0","7","0","0","2768","1182","0","353","2581","103","0","21443","3699","0","0","-103","0","3502"
"08/08/2014","2014","08/2014", "6  Semana" ,"08/08","N","1","0","0","1","0","0","2","0","0","0","0","0","0","1","3644","0","0","0","0","3502"
"08/05/2015","2015","05/2015", "6  Semana" ,"08/05","N","1","0","0","32","0","0","2","0","0","0","0","0","0","0","3669","0","0","0","0","3502"
"08/04/2015","2015","04/2015", "4  Semana" ,"08/04","N","1","0","0","35","0","0","2","0","0","0","0","0","0","0","3622","0","0","0","0","3502"
"08/02/2016","2016","02/2016", "2  Semana" ,"08/02","N","306","0","0","1","0","0","461","225","0","0","452","22","48","4514","3550","0","0","-22","-48","3502"
"08/01/2015","2015","01/2015", "5  Semana" ,"08/01","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3683","0","0","0","0","3502"
"07/12/2015","2015","12/2015", "2  Semana" ,"07/12","N","1","0","0","64","0","0","2","0","0","0","0","0","0","1","3591","0","0","0","0","3502"
"07/11/2015","2015","11/2015", "7  Semana" ,"07/11","N","1636","0","0","2","0","0","2763","1334","0","983","229","326","20","2104","3543","0","0","-326","-20","3502"
"07/11/2014","2014","11/2014", "6  Semana" ,"07/11","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3610","0","0","0","0","3502"
"07/10/2014","2014","10/2014", "3  Semana" ,"07/10","N","1","0","0","0","0","0","2","0","0","0","0","0","0","1","3688","0","0","0","0","3502"
"07/09/2015","2015","09/2015", "2  Semana" ,"07/09","N","68","0","0","2","0","0","108","100","0","0","83","2","21","414","3738","0","0","-2","-21","3502"
"07/08/2015","2015","08/2015", "6  Semana" ,"07/08","N","2517","0","0","17","0","0","5702","3544","190","842","521","519","0","5154","3699","0","0","-519","0","3502"
"07/08/2014","2014","08/2014", "5  Semana" ,"07/08","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3647","0","0","0","0","3502"
"07/06/2015","2015","06/2015", "1  Semana" ,"07/06","N","264","0","0","1","0","0","577","424","0","0","3","30","0","22","3606","0","0","-30","0","3502"
"07/05/2015","2015","05/2015", "5  Semana" ,"07/05","N","1","0","0","42","0","0","2","0","0","0","0","0","0","1","3666","0","0","0","0","3502"
"07/04/2015","2015","04/2015", "3  Semana" ,"07/04","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3624","0","0","0","0","3502"
"07/03/2015","2015","03/2015", "7  Semana" ,"07/03","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3577","0","0","0","0","3502"
"07/02/2016","2016","02/2016", "1  Semana" ,"07/02","N","159","0","0","","0","0","350","244","0","0","0","22","0","0","3550","0","0","-22","0","3502"
"07/02/2015","2015","02/2015", "7  Semana" ,"07/02","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3635","0","0","0","0","3502"
"07/01/2015","2015","01/2015", "4  Semana" ,"07/01","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3683","0","0","0","0","3502"
"06/12/2014","2014","12/2014", "7  Semana" ,"06/12","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3740","0","0","0","0","3502"
"06/11/2014","2014","11/2014", "5  Semana" ,"06/11","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3610","0","0","0","0","3502"
"06/10/2014","2014","10/2014", "2  Semana" ,"06/10","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3688","0","0","0","0","3502"
"06/09/2015","2015","09/2015", "1  Semana" ,"06/09","N","51","0","0","1","0","0","249","88","0","0","0","1","0","0","3738","0","0","-1","0","3502"
"06/09/2014","2014","09/2014", "7  Semana" ,"06/09","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3623","0","0","0","0","3502"
"06/08/2014","2014","08/2014", "4  Semana" ,"06/08","N","1","0","0","1","0","0","2","0","0","0","0","0","0","1","3644","0","0","0","0","3502"
"06/06/2015","2015","06/2015", "7  Semana" ,"06/06","N","489","0","0","5","0","0","1122","927","0","0","382","21","0","4497","3608","0","0","-21","0","3502"
"06/05/2015","2015","05/2015", "4  Semana" ,"06/05","N","1","0","0","81","0","0","2","0","0","0","0","0","0","1","3671","0","0","0","0","3502"
"06/04/2015","2015","04/2015", "2  Semana" ,"06/04","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3621","0","0","0","0","3502"
"06/02/2016","2016","02/2016", "7  Semana" ,"06/02","N","480","0","0","0","0","0","1282","412","0","0","391","107","56","3687","3550","0","0","-107","-56","3502"
"06/02/2015","2015","02/2015", "6  Semana" ,"06/02","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3635","0","0","0","0","3502"
"06/01/2015","2015","01/2015", "3  Semana" ,"06/01","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3685","0","0","0","0","3502"
"05/12/2014","2014","12/2014", "6  Semana" ,"05/12","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3742","0","0","0","0","3502"
"05/11/2014","2014","11/2014", "4  Semana" ,"05/11","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3610","0","0","0","0","3502"
"05/09/2015","2015","09/2015", "7  Semana" ,"05/09","N","1457","0","0","7","0","0","2614","841","0","414","257","124","9","2094","3738","0","0","-124","-9","3502"
"05/09/2014","2014","09/2014", "6  Semana" ,"05/09","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3622","0","0","0","0","3502"
"05/08/2014","2014","08/2014", "3  Semana" ,"05/08","N","1","0","0","5","0","0","2","0","0","0","0","0","0","0","3645","0","0","0","0","3502"
"05/07/2015","2015","07/2015", "1  Semana" ,"05/07","N","118","0","0","1","0","0","387","111","0","0","7","0","0","78","3588","0","0","0","0","3502"
"05/05/2015","2015","05/2015", "3  Semana" ,"05/05","N","1","0","0","43","0","0","2","0","0","0","0","0","0","0","3666","0","0","0","0","3502"
"05/03/2015","2015","03/2015", "5  Semana" ,"05/03","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3576","0","0","0","0","3502"
"05/02/2016","2016","02/2016", "6  Semana" ,"05/02","N","4386","0","0","18","0","0","5575","3945","0","0","722","1549","279","3857","3626","0","0","-1549","-279","3502"
"05/02/2015","2015","02/2015", "5  Semana" ,"05/02","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3635","0","0","0","0","3502"
"05/01/2016","2016","01/2016", "3  Semana" ,"05/01","N","5713","0","0","22","0","0","6838","4176","761","73","626","1366","124","2736","3549","0","0","-1366","-124","3502"
"05/01/2015","2015","01/2015", "2  Semana" ,"05/01","N","1","0","0","7","0","0","2","0","0","0","0","0","0","0","3684","0","0","0","0","3502"
"04/12/2015","2015","12/2015", "6  Semana" ,"04/12","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3589","0","0","0","0","3502"
"04/12/2014","2014","12/2014", "5  Semana" ,"04/12","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3739","0","0","0","0","3502"
"04/11/2014","2014","11/2014", "3  Semana" ,"04/11","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3613","0","0","0","0","3502"
"04/10/2015","2015","10/2015", "1  Semana" ,"04/10","N","92","0","0","3","0","0","319","131","0","124","2","22","0","0","3518","0","0","-22","0","3502"
"04/09/2015","2015","09/2015", "6  Semana" ,"04/09","N","5564","0","0","26","0","0","6820","3634","0","1503","725","711","171","5108","3738","0","0","-711","-171","3502"
"04/09/2014","2014","09/2014", "5  Semana" ,"04/09","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3622","0","0","0","0","3502"
"04/08/2015","2015","08/2015", "3  Semana" ,"04/08","N","2695","0","0","21","0","0","5754","0","0","0","636","0","110","6078","3727","0","0","0","-110","3502"
"04/08/2014","2014","08/2014", "2  Semana" ,"04/08","N","1","0","0","32","0","0","2","0","0","0","0","0","0","1","3644","0","0","0","0","3502"
"04/07/2015","2015","07/2015", "7  Semana" ,"04/07","N","652","0","0","9","0","0","2035","627","0","421","460","24","0","4959","3594","0","0","-24","0","3502"
"04/05/2015","2015","05/2015", "2  Semana" ,"04/05","N","1","0","0","66","0","0","2","0","0","0","0","0","0","1","3699","0","0","0","0","3502"
"04/03/2015","2015","03/2015", "4  Semana" ,"04/03","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3577","0","0","0","0","3502"
"04/02/2016","2016","02/2016", "5  Semana" ,"04/02","N","5222","0","0","20","41","0","6423","4423","0","494","759","1743","229","3523","3613","0","0","-1743","-229","3502"
"04/02/2015","2015","02/2015", "4  Semana" ,"04/02","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3635","0","0","0","0","3502"
"03/12/2015","2015","12/2015", "5  Semana" ,"03/12","N","1","0","0","0","0","0","2","0","0","0","0","0","0","1","3592","0","0","0","0","3502"
"03/12/2014","2014","12/2014", "4  Semana" ,"03/12","N","1","0","0","4","0","0","2","0","0","0","0","0","0","0","3742","0","0","0","0","3502"
"03/11/2014","2014","11/2014", "2  Semana" ,"03/11","N","1","0","0","8","0","0","2","0","0","0","0","0","0","0","3613","0","0","0","0","3502"
"03/10/2015","2015","10/2015", "7  Semana" ,"03/10","N","1472","0","0","8","0","0","2538","1124","0","509","245","187","22","1936","3518","0","0","-187","-22","3502"
"03/09/2015","2015","09/2015", "5  Semana" ,"03/09","N","5933","0","0","22","0","0","7318","3390","0","1376","728","389","213","3785","3701","0","0","-389","-213","3502"
"03/09/2014","2014","09/2014", "4  Semana" ,"03/09","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3623","0","0","0","0","3502"
"03/08/2015","2015","08/2015", "2  Semana" ,"03/08","N","1931","0","0","44","145","0","3783","0","0","0","674","0","83","6239","3727","0","0","0","-83","3502"
"03/03/2015","2015","03/2015", "3  Semana" ,"03/03","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3577","0","0","0","0","3502"
"03/02/2016","2016","02/2016", "4  Semana" ,"03/02","N","4345","0","92","17","8","0","5574","3874","0","276","723","1195","273","3282","3612","0","0","-1195","-273","3502"
"03/02/2015","2015","02/2015", "3  Semana" ,"03/02","N","2","0","0","0","0","0","3","0","0","0","0","0","1","0","3622","0","0","0","-1","3502"
"03/01/2016","2016","01/2016", "1  Semana" ,"03/01","N","53","0","0","0","0","0","129","115","0","0","0","13","0","0","3442","0","0","-13","0","3502"
"03/01/2015","2015","01/2015", "7  Semana" ,"03/01","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3685","0","0","0","0","3502"
"02/12/2015","2015","12/2015", "4  Semana" ,"02/12","N","1","0","0","20","0","0","2","0","0","0","0","0","0","0","3591","0","0","0","0","3502"
"02/12/2014","2014","12/2014", "3  Semana" ,"02/12","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3740","0","0","0","0","3502"
"02/11/2015","2015","11/2015", "2  Semana" ,"02/11","N","236","0","0","2","0","0","346","204","0","0","270","28","34","2617","3506","0","0","-28","-34","3502"
"02/09/2015","2015","09/2015", "4  Semana" ,"02/09","N","5972","0","0","22","0","0","7284","3402","0","1450","648","484","137","3588","3701","0","0","-484","-137","3502"
"02/09/2014","2014","09/2014", "3  Semana" ,"02/09","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3622","0","0","0","0","3502"
"02/08/2015","2015","08/2015", "1  Semana" ,"02/08","N","144","0","0","4","0","0","450","0","0","0","5","0","0","60","3727","0","0","0","0","3502"
"02/08/2014","2014","08/2014", "7  Semana" ,"02/08","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3647","0","0","0","0","3502"
"02/06/2015","2015","06/2015", "3  Semana" ,"02/06","N","1238","0","0","0","0","0","2630","0","0","0","323","0","199","3486","3704","0","0","0","-199","3502"
"02/04/2015","2015","04/2015", "5  Semana" ,"02/04","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3620","0","0","0","0","3502"
"02/03/2015","2015","03/2015", "2  Semana" ,"02/03","N","1","0","0","4","0","0","2","0","0","0","0","0","0","0","3577","0","0","0","0","3502"
"02/02/2015","2015","02/2015", "2  Semana" ,"02/02","N","1","0","0","6","0","0","2","0","0","0","0","0","0","0","3637","0","0","0","0","3502"
"02/01/2016","2016","01/2016", "7  Semana" ,"02/01","N","10","0","0","0","0","0","23","80","0","0","16","2","2","129","3442","0","0","-2","-2","3502"
"02/01/2015","2015","01/2015", "6  Semana" ,"02/01","N","1","0","0","0","0","0","2","0","0","0","0","0","0","1","3683","0","0","0","0","3502"
"01/12/2014","2014","12/2014", "2  Semana" ,"01/12","N","1","0","0","11","0","0","2","0","0","0","0","0","0","0","3740","0","0","0","0","3502"
"01/11/2014","2014","11/2014", "7  Semana" ,"01/11","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3611","0","0","0","0","3502"
"01/10/2014","2014","10/2014", "4  Semana" ,"01/10","N","1","0","0","9","0","0","2","0","0","0","0","0","0","0","3691","0","0","0","0","3502"
"01/09/2014","2014","09/2014", "2  Semana" ,"01/09","N","1","0","0","11","0","0","2","0","0","0","0","0","0","1","3622","0","0","0","0","3502"
"01/08/2014","2014","08/2014", "6  Semana" ,"01/08","N","1","0","0","10","0","0","2","0","0","0","0","0","0","0","3648","0","0","0","0","3502"
"01/04/2015","2015","04/2015", "4  Semana" ,"01/04","N","1","0","0","16","0","0","2","0","0","0","0","0","0","0","3621","0","0","0","0","3502"
"01/01/2016","2016","01/2016", "6  Semana" ,"01/01","N","10","0","0","1","0","0","18","10","0","0","0","11","0","1","3518","0","0","-11","0","3502"
